kernel,n_channels,n_qubits,mean,std,variance,min,max,shots_for_1sigma,subject
HS-overlap,4,2,0.9882614639582731,0.013931385116373617,0.00019408349126071633,0.9100334222204547,0.9998845135644333,5152.421741304517,8
Fidelity,4,2,0.992603291838907,0.009193831974512697,8.452654637557203e-05,0.9396410916534389,0.999927037018134,11830.602844658486,8
HS-RBF,4,2,0.3951990496561128,0.3219072735007177,0.10362429273266587,6.302180756810989e-08,0.9801690370632918,9.650246806314426,8
Bures-RBF,4,2,0.3938439507466174,0.3213910135961946,0.10329218362038935,5.3680229311263404e-08,0.9802710629588234,9.681274661354,8
HS-overlap,8,3,0.9886777398761997,0.011745688962350002,0.00013796120920027066,0.9174471396899488,0.9999011370409786,7248.414288311689,8
Fidelity,8,3,0.9920854179980751,0.00896536597747343,8.03777871100381e-05,0.9357258084512481,0.9999401812197466,12441.248209918851,8
HS-RBF,8,3,0.38874929773573136,0.30034868027008543,0.09020932973998201,3.983310959629909e-07,0.9858761553468037,11.08532790214033,8
Bures-RBF,8,3,0.3909466815089948,0.2974443940646288,0.08847316756047417,6.283814077174914e-07,0.9870117530465299,11.302861958869832,8
HS-overlap,16,4,0.9903420744342942,0.008707252761153517,7.581625064661554e-05,0.9396609063153858,0.9995133660136949,13189.784399403563,8
Fidelity,16,4,0.9919127804293566,0.008808383312910398,7.758761658715835e-05,0.938839513891845,0.9997844684660728,12888.654710467179,8
HS-RBF,16,4,0.38426670075320896,0.28940058221144754,0.0837526969843248,1.6881031097058467e-06,0.9574057041004149,11.93991400882482,8
Bures-RBF,16,4,0.38436920838328675,0.2837565588262063,0.08051778467689029,2.566011450679049e-06,0.9563194722010522,12.41961641161513,8
HS-overlap,32,5,0.9827763615325714,0.010166216505677892,0.00010335195804031763,0.9251309082164006,0.9966992681428646,9675.675419810621,8
Fidelity,32,5,0.9859787559130274,0.00954358782158393,9.10800685082851e-05,0.9314314681573049,0.9979498925767121,10979.35054703033,8
HS-RBF,32,5,0.3620314948646614,0.2279224979671483,0.05194866507958472,0.00041000722830525507,0.8798493320061225,19.24977279912799,8
Bures-RBF,32,5,0.3601868307049472,0.18797923384548934,0.03533619235713716,0.001940465353042822,0.8323113910700382,28.29959690883393,8
HS-overlap,64,6,0.9562919712491744,0.03955921909959584,0.001564931815769828,0.7870766628072934,0.9941348457231971,639.0054760999767,8
Fidelity,64,6,0.9697238858068055,0.024722895892328196,0.0006112215813028984,0.8630915922988711,0.9948782364719617,1636.0678853458835,8
HS-RBF,64,6,0.35028035645937583,0.23173428212642486,0.05370077751264948,0.00011252274450991196,0.8360295764438639,18.62170430892635,8
Bures-RBF,64,6,0.3435543215015787,0.1952777208405339,0.03813338825667349,0.001193299110815993,0.7841264850274797,26.22373845379439,8
HS-overlap,4,2,0.9929240104099217,0.007040242026509496,4.9565007791830546e-05,0.9573240979498396,0.9998010009558623,20175.523913966237,9
Fidelity,4,2,0.9914411215817356,0.006889581795175741,4.746633731241699e-05,0.9547555115056499,0.999681202834085,21067.561910625962,9
HS-RBF,4,2,0.39197007346768387,0.26431816768202493,0.06986409376678306,0.00047699213999316634,0.9562983277054853,14.313504206297326,9
Bures-RBF,4,2,0.38858668538962127,0.24987540369460506,0.06243771737154185,0.0009534138406999599,0.9527030929305709,16.015960257634028,9
HS-overlap,8,3,0.9901564447016777,0.008561538305626936,7.329993815871734e-05,0.9494061734609444,0.9995008057736382,13642.576312065728,9
Fidelity,8,3,0.9881819927939491,0.008076681176011787,6.523277881894314e-05,0.9464453252858944,0.9992827600807986,15329.71641106307,9
HS-RBF,8,3,0.38021091890082565,0.23782183249923072,0.05655922401329216,0.001388823316817633,0.9367052620897477,17.680582034947772,9
Bures-RBF,8,3,0.38199689601347087,0.21269692642292928,0.04523998250976099,0.004081414443318415,0.9298888110372739,22.104340994920584,9
HS-overlap,16,4,0.9792802454823962,0.018574952656772538,0.00034502886620134117,0.8962689585226893,0.9990895860866416,2898.3082227573714,9
Fidelity,16,4,0.9749165482536701,0.016573175272541363,0.0002746701386143765,0.8931000009892635,0.9983929071357867,3640.730678058714,9
HS-RBF,16,4,0.3870828603172708,0.24277593654019372,0.058940155362968163,0.0005539667641114419,0.9288873468549546,16.966361792597098,9
Bures-RBF,16,4,0.3965700380821284,0.2216087046107847,0.04911041795927003,0.0069416084062065625,0.929883224522975,20.36227834243551,9
HS-overlap,32,5,0.9529589045166007,0.027783977958645525,0.0007719494312065004,0.8486833230589518,0.9916452074617854,1295.421642369855,9
Fidelity,32,5,0.9402233126051671,0.03040369595654699,0.0009243847278181517,0.8543099613589492,0.9869517112452275,1081.8006506450242,9
