subject,direction,frame,pipeline,group,accuracy,auc,best,n_train,n_test
5,1test->0train,sensor,quantum/Fidelity,quantum,0.5069444444444444,0.48823302469135804,"{""C"": 0.1, ""gamma_mult"": 1.0}",144,144
5,1test->0train,sensor,quantum/HS-RBF,quantum,0.5069444444444444,0.5287422839506172,"{""C"": 0.1, ""gamma_mult"": 0.25}",144,144
5,1test->0train,sensor,quantum/Bures-RBF,quantum,0.5069444444444444,0.5122492283950617,"{""C"": 0.1, ""gamma_mult"": 0.25}",144,144
5,1test->0train,sensor,quantum/QRE-RBF,quantum,0.5069444444444444,0.5519868827160493,"{""C"": 0.1, ""gamma_mult"": 0.25}",144,144
5,0train->1test,reference,classical/TS+LR,classical,0.4930555555555556,0.5511188271604938,"{""clf__C"": 0.1}",144,144
5,0train->1test,reference,classical/MDM,classical,0.4930555555555556,0.4874614197530864,{},144,144
5,0train->1test,reference,control/riemann-kernel-SVM,control,0.5,0.5009645061728395,"{""C"": 0.1}",144,144
5,0train->1test,reference,control/logeuclid-kernel-SVM,control,0.5,0.5009645061728395,"{""C"": 0.1}",144,144
5,0train->1test,reference,quantum/HS-overlap,quantum,0.4861111111111111,0.49672067901234573,"{""C"": 0.1, ""gamma_mult"": 1.0}",144,144
5,0train->1test,reference,quantum/Fidelity,quantum,0.5416666666666666,0.5628858024691358,"{""C"": 10.0, ""gamma_mult"": 1.0}",144,144
5,0train->1test,reference,quantum/HS-RBF,quantum,0.5625,0.5688657407407407,"{""C"": 10.0, ""gamma_mult"": 4.0}",144,144
5,0train->1test,reference,quantum/Bures-RBF,quantum,0.5416666666666666,0.5653935185185184,"{""C"": 10.0, ""gamma_mult"": 4.0}",144,144
5,0train->1test,reference,quantum/QRE-RBF,quantum,0.5416666666666666,0.5636574074074072,"{""C"": 10.0, ""gamma_mult"": 4.0}",144,144
5,1test->0train,reference,classical/TS+LR,classical,0.5694444444444444,0.5397376543209877,"{""clf__C"": 10.0}",144,144
5,1test->0train,reference,classical/MDM,classical,0.5138888888888888,0.49498456790123463,{},144,144
5,1test->0train,reference,control/riemann-kernel-SVM,control,0.5069444444444444,0.5142746913580247,"{""C"": 1.0}",144,144
5,1test->0train,reference,control/logeuclid-kernel-SVM,control,0.5069444444444444,0.5142746913580247,"{""C"": 1.0}",144,144
